city,prov,m
Aba Tibetan and Qiang Autonomous Prefecture,Sichuan,132133
Aksu Area,Xinjiang,84899
Aral,Xinjiang,22281
Alxa League,Inner Mongolia,78088
Altay Region,Xinjiang,24208
Ngari Area,Tibet,929
Ankang,Shaanxi,464985
Anqing,Anhui,1341201
Anshun,Guizhou,732685
Anyang,Henan,867795
Anshan,Liaoning,499976
Bayannur,Inner Mongolia,113139
Bayingolin Mongolian Autonomous Prefecture,Xinjiang,117533
Bazhong,Sichuan,732345
Baicheng,Jilin,144658
Baisha Li Autonomous County,Hainan,25813
Baishan,Jilin,85597
Baiyin,Gansu,176326
Baise,Guangxi,580104
Bengbu,Anhui,1325722
Baotou,Inner Mongolia,219812
Baoji,Shaanxi,387607
Baoding,Hebei,2022337
Baoshan,Yunnan,149857
Baoting Li and Miao Autonomous County,Hainan,64447
Beihai,Guangxi,347522
Beijing,Beijing,4318554
Beitun,Xinjiang,10198
Benxi,Liaoning,154438
Bijie,Guizhou,1201678
Binzhou,Shandong,1005876
Bozhou,Anhui,1829556
Bortala Mongolian Autonomous Prefecture,Xinjiang,35801
Cangzhou,Hebei,1873842
Qamdo,Tibet,19670
Changji Hui Autonomous Prefecture,Xinjiang,337343
Changjiang Li Autonomous County,Hainan,40343
Changde,Hunan,1267967
Changzhou,Jiangsu,2641563
Chaoyang,Liaoning,293540
Chaozhou,Guangdong,509572
Chenzhou,Hunan,1524070
Chengdu,Sichuan,4623321
Chengde,Hebei,413277
Chengmai County,Hainan,206196
Chizhou,Anhui,635254
Chifeng,Inner Mongolia,333063
Chongzuo,Guangxi,308257
Chuzhou,Anhui,2389741
Chuxiong Yi Autonomous Prefecture,Yunnan,330723
Dazhou,Sichuan,1289473
Dali Bai Autonomous Prefecture,Yunnan,369800
Dalian,Liaoning,330357
Daqing,Heilongjiang,354480
Datong,Shanxi,343394
Greater Khingan Mountains,Heilongjiang,13451
Dandong,Liaoning,139171
Danzhou,Hainan,137005
Dehong Dai and Jingpo Autonomous Prefecture,Yunnan,76415
Deyang,Sichuan,1188807
Dezhou,Shandong,1471581
Diqing Tibetan Autonomous Prefecture,Yunnan,23264
Ding'an County,Hainan,82552
Dingxi,Gansu,263018
Dongfang,Hainan,65310
Dongguan,Guangdong,6579728
Dongying,Shandong,562712
Ordos,Inner Mongolia,314780
Ezhou,Hubei,428517
Enshi Tujia and Miao Autonomous Prefecture,Hubei,840799
Fangchenggang,Guangxi,179214
Foshan,Guangdong,5950682
Fuzhou,Fujian,817648
Fushun,Liaoning,311616
Fuzhou,Jiangxi,1072088
Fuxin,Liaoning,233564
Fuyang,Anhui,2296882
Gannan Tibetan Autonomous Prefecture,Gansu,25403
Ganzi Tibetan Autonomous Prefecture,Sichuan,81776
Ganzhou,Jiangxi,1708375
Guyuan,Ningxia,164738
Guang'an,Sichuan,1049592
Guangyuan,Sichuan,580479
Guangzhou,Guangdong,8689862
Guigang,Guangxi,845763
Guiyang,Guizhou,1871724
Guilin,Guangxi,1144021
Golog Tibetan Autonomous Prefecture,Qinghai,9240
Harbin,Heilongjiang,859535
Hami,Xinjiang,165769
Haibei Tibetan Autonomous Prefecture,Qinghai,12811
Haidong,Qinghai,149959
Haikou,Hainan,722194
Hainan Tibetan Autonomous Prefecture,Qinghai,38340
Haixi Mongolian and Tibetan Autonomous Prefecture,Qinghai,59450
Handan,Hebei,1302912
Hanzhong,Shaanxi,472365
Hangzhou,Zhejiang,4173051
Hefei,Anhui,3255796
Hotan Area,Xinjiang,21790
Hechi,Guangxi,650063
Heyuan,Guangdong,1195325
Heze,Shandong,1659816
Hezhou,Guangxi,643936
Hebi,Henan,346113
Hegang,Heilongjiang,54252
Heihe,Heilongjiang,82990
Hengshui,Hebei,1151875
Hengyang,Hunan,1798358
Honghe Hani and Yi Autonomous Prefecture,Yunnan,335546
Hohhot,Inner Mongolia,334966
Hulunbeir,Inner Mongolia,84045
Huludao,Liaoning,502765
Huzhou,Zhejiang,1804484
Huaihua,Hunan,1123148
Huaian,Jiangsu,2028739
Huaibei,Anhui,657404
Huainan,Anhui,1132693
Huanggang,Hubei,1667102
Huangnan Tibetan Autonomous Prefecture,Qinghai,9854
Huangshan,Anhui,425900
Huangshi,Hubei,643078
Huizhou,Guangdong,3555072
Jixi,Heilongjiang,77962
Ji'an,Jiangxi,1160559
Jilin,Jilin,323572
Jinan,Shandong,2511317
Jining,Shandong,1491426
Jiyuan,Henan,160548
Jiamusi,Heilongjiang,157863
Jiaxing,Zhejiang,2258927
Jiayuguan,Gansu,65344
Jiangmen,Guangdong,1734323
Jiaozuo,Henan,633913
Jieyang,Guangdong,1149075
Jinchang,Gansu,65243
Jinhua,Zhejiang,1841897
Jinzhou,Liaoning,545065
Jincheng,Shanxi,234220
Jinzhong,Shanxi,947061
Jingmen,Hubei,751103
Jingzhou,Hubei,1383887
Jingdezhen,Jiangxi,533518
Jiujiang,Jiangxi,1359464
Jiuquan,Gansu,193702
