city,prov,m
Kashgar Area,Xinjiang,53866
Kaifeng,Henan,1333044
Kokkhara,Xinjiang,12291
Karamay,Xinjiang,56045
Kizilsu Kirgiz Autonomous Prefecture,Xinjiang,20220
Kunming,Yunnan,1484269
Kunyu,Xinjiang,1758
Lhasa,Tibet,47641
Laibin,Guangxi,542660
Lan'zhou,Gansu,483727
Langfang,Hebei,2660985
Ledong Li Autonomous County,Hainan,108114
Leshan,Sichuan,567072
Lijiang,Yunnan,131845
Lishui,Zhejiang,534240
Lianyungang,Jiangsu,1245939
Liangshan Yi Autonomous Prefecture,Sichuan,306207
Liaoyang,Liaoning,349166
Liaoyuan,Jilin,110158
Liaocheng,Shandong,1180155
Nyingchi,Tibet,14113
Lincang,Yunnan,105242
Linfen,Shanxi,509063
Lingao County,Hainan,68385
Linxia Hui Autonomous Prefecture,Gansu,74509
Linyi,Shandong,1701311
Lingshui Li Autonomous County,Hainan,223563
Liuzhou,Guangxi,836087
Lu'an,Anhui,1620908
Liupanshui,Guizhou,543057
Longyan,Fujian,347036
Longnan,Gansu,189827
Loudi,Hunan,937612
Luzhou,Sichuan,1042473
Luoyang,Henan,936823
Luohe,Henan,696265
Luliang,Shanxi,426795
Ma'anshan,Anhui,1043882
Maoming,Guangdong,1491288
Meishan,Sichuan,1077921
Meizhou,Guangdong,985056
Mianyang,Sichuan,1180776
Mudanjiang,Heilongjiang,117742
Nagqu,Tibet,7728
Nanchang,Jiangxi,1498627
Nanchong,Sichuan,1629748
Nanjing,Jiangsu,3955260
Nanning,Guangxi,1504604
Nanping,Fujian,514298
Nantong,Jiangsu,1991484
Nanyang,Henan,1632486
Neijiang,Sichuan,986863
Ningbo,Zhejiang,1682104
Ningde,Fujian,439255
Nujiang Lisu Autonomous Prefecture,Yunnan,20454
Panzhihua,Sichuan,175671
Panjin,Liaoning,380741
Pingdingshan,Henan,990872
Pingliang,Gansu,248655
Pingxiang,Jiangxi,409805
Putian,Fujian,443914
Puyang,Henan,851755
Pu'er,Yunnan,159959
Qitaihe,Heilongjiang,61059
Qiqihar,Heilongjiang,282262
Qianjiang,Hubei,274973
Qiandongnan Miao and Dong Autonomous Prefecture,Guizhou,880915
Qiannan Buyi and Miao Autonomous Prefecture,Guizhou,1281981
Qianxinan Buyi and Miao Autonomous Prefecture,Guizhou,487547
Qinzhou,Guangxi,565906
Qinhuangdao,Hebei,586583
Qingdao,Shandong,1393149
Qingyuan,Guangdong,2216616
Qingyang,Gansu,190132
Qionghai,Hainan,173861
Qiongzhong Li and Miao Autonomous County,Hainan,44156
Qujing,Yunnan,739677
Quzhou,Zhejiang,1320071
Quanzhou,Fujian,1185316
Shigatse,Tibet,9418
Rizhao,Shandong,615273
Sanmenxia,Henan,440410
Sanming,Fujian,451999
Sanya,Hainan,444581
Xiamen,Fujian,1072733
Shannan,Tibet,16146
Shantou,Guangdong,895296
Shanwei,Guangdong,653663
Shangluo,Shaanxi,325940
Shangqiu,Henan,2001758
Shanghai,Shanghai,4714180
Shangrao,Jiangxi,1707996
Shaoguan,Guangdong,1578492
Shaoyang,Hunan,1596665
Shaoxing,Zhejiang,1808937
Shenzhen,Guangdong,6089064
Shennongjia Forest Area,Hubei,12630
Shenyang,Liaoning,1543113
Shiyan,Hubei,425499
Shihezi,Xinjiang,81018
Shijiazhuang,Hebei,1673249
Shizuishan,Ningxia,145955
Shuanghe,Xinjiang,9292
Shuangyashan,Heilongjiang,78004
Shuozhou,Shanxi,241057
Siping,Jilin,502400
Songyuan,Jilin,369214
Suzhou,Jiangsu,5879897
Suqian,Jiangsu,1642608
Suzhou,Anhui,1909922
Suihua,Heilongjiang,497563
Suizhou,Hubei,541086
Suining,Sichuan,964685
Tacheng Area,Xinjiang,105610
Taizhou,Zhejiang,1043053
Taiyuan,Shanxi,1179372
Tai'an,Shandong,1095215
Taizhou,Jiangsu,1904398
Tangshan,Hebei,1128398
Tianjin,Tianjin,2552920
Tianmen,Hubei,410987
Tianshui,Gansu,274054
Tieling,Liaoning,394580
Tiemenguan,Xinjiang,10092
Tonghua,Jilin,188823
Tongliao,Inner Mongolia,252831
Tongchuan,Shaanxi,166901
Tongling,Anhui,599264
Tongren,Guizhou,881320
Tumusuk,Xinjiang,7800
Turpan,Xinjiang,132857
Tunchang County,Hainan,48839
Wanning,Hainan,158153
Weihai,Shandong,285030
Weifang,Shandong,1450023
Weinan,Shaanxi,894478
Wenzhou,Zhejiang,1164207
Wenchang,Hainan,146013
Wenshan Zhuang and Miao Autonomous Prefecture,Yunnan,339652
Wuhai,Inner Mongolia,86084
Wulanchabu,Inner Mongolia,253953
Urumqi,Xinjiang,505251
Wuxi,Jiangsu,3987388
Wuhu,Anhui,1212326
Wuzhong,Ningxia,301510
Wuzhou,Guangxi,933798
Wujiaqu,Xinjiang,61173
Wuzhishan,Hainan,46019
Wuhan,Hubei,2844828
Wuwei,Gansu,191242
Xi'an,Shaanxi,2969277
Xining,Qinghai,228211
Xishuangbanna Dai Autonomous Prefecture,Yunnan,143747
Xilin Gol League,Inner Mongolia,96079
Xiantao,Hubei,519405
Xianning,Hubei,825389
Xianyang,Shaanxi,1739828
Xiangtan,Hunan,1145994
Xiangxi Tujia and Miao Autonomous Prefecture,Hunan,723570
Xiangyang,Hubei,991864
Xiaogan,Hubei,1216559
Xinzhou,Shanxi,345942
Xinxiang,Henan,1200284
Xinyu,Jiangxi,347279
Xinyang,Henan,1678693
Xingtai,Hebei,1348185
Xing'an League,Inner Mongolia,106466
Xuzhou,Jiangsu,2143342
Xuchang,Henan,1106256
Xuancheng,Anhui,1044083
Ya'an,Sichuan,364895
Yantai,Shandong,749239
Yan'an,Shaanxi,226556
Yanbian Korean Autonomous Prefecture,Jilin,79428
Yancheng,Jiangsu,1912938
Yangzhou,Jiangsu,1825777
Yangjiang,Guangdong,948893
Yangquan,Shanxi,215865
Yichun,Heilongjiang,59873
Ili Kazakh Autonomous Prefecture,Xinjiang,101799
Yibin,Sichuan,915177
Yichang,Hubei,835717
Yichun,Jiangxi,1362625
Yiyang,Hunan,1073803
Yinchuan,Ningxia,430681
Yingtan,Jiangxi,376437
Yingkou,Liaoning,305565
Yongzhou,Hunan,1363271
Yulin,Shaanxi,348802
Yulin,Guangxi,941380
Yushu Tibetan Autonomous Prefecture,Qinghai,6579
Yuxi,Yunnan,387101
Yueyang,Hunan,1425363
Yunfu,Guangdong,1251738
Yuncheng,Shanxi,588404
Zaozhuang,Shandong,651233
Zhangjiang,Guangdong,1469971
Zhangjiajie,Hunan,347528
Zhangjiakou,Hebei,550306
Zhangye,Gansu,133878
Zhangzhou,Fujian,754810
Changchun,Jilin,930389
Changsha,Hunan,3131862
Changzhi,Shanxi,396020
Zhaotong,Yunnan,744859
Zhaoqing,Guangdong,2065371
Zhenjiang,Jiangsu,1711784
Zhengzhou,Henan,3284549
Zhongshan,Guangdong,2250414
Zhongwei,Ningxia,208938
Chongqing,Chongqing,4511178
Zhoushan,Zhejiang,182740
Zhoukou,Henan,2418416
Zhuhai,Guangdong,1234190
Zhuzhou,Hunan,1405128
Zhumadian,Henan,1617785
Ziyang,Sichuan,903173
Zibo,Shandong,993448
Zigong,Sichuan,795800
Zunyi,Guizhou,1508835
