city,prov,m
Nagqu,Tibet,9842
Nanchang,Jiangxi,1618219
Nanchong,Sichuan,1728628
Nanjing,Jiangsu,3412463
Nanning,Guangxi,1505719
Nanping,Fujian,502721
Nantong,Jiangsu,1803359
Nanyang,Henan,1003329
Neijiang,Sichuan,1060207
Ningbo,Zhejiang,1546706
Ningde,Fujian,490029
Nujiang Lisu Autonomous Prefecture,Yunnan,17676
Panzhihua,Sichuan,173257
Panjin,Liaoning,371742
Pingdingshan,Henan,476300
Pingliang,Gansu,244565
Pingxiang,Jiangxi,443375
Putian,Fujian,482314
Puyang,Henan,407250
Pu'er,Yunnan,113335
Qitaihe,Heilongjiang,29961
Qiqihar,Heilongjiang,178834
Qianjiang,Hubei,302972
Qiandongnan Miao and Dong Autonomous Prefecture,Guizhou,877944
Qiannan Buyi and Miao Autonomous Prefecture,Guizhou,1275024
Qianxinan Buyi and Miao Autonomous Prefecture,Guizhou,484395
Qinzhou,Guangxi,578752
Qinhuangdao,Hebei,414902
Qingdao,Shandong,1516881
Qingyuan,Guangdong,2222506
Qingyang,Gansu,167970
Qionghai,Hainan,199394
Qiongzhong Li and Miao Autonomous County,Hainan,67424
Qujing,Yunnan,791561
Quzhou,Zhejiang,1052102
Quanzhou,Fujian,1286091
Shigatse,Tibet,12174
Rizhao,Shandong,661277
Sanmenxia,Henan,238102
Sanming,Fujian,492214
Sanya,Hainan,598225
Xiamen,Fujian,1226032
Shannan,Tibet,24661
Shantou,Guangdong,1189390
Shanwei,Guangdong,681631
Shangluo,Shaanxi,235827
Shangqiu,Henan,1164283
Shanghai,Shanghai,3768086
Shangrao,Jiangxi,1628818
Shaoguan,Guangdong,1128201
Shaoyang,Hunan,1570838
Shaoxing,Zhejiang,1518353
Shenzhen,Guangdong,4695673
Shennongjia Forest Area,Hubei,20287
Shenyang,Liaoning,1433947
Shiyan,Hubei,387987
Shihezi,Xinjiang,105697
Shijiazhuang,Hebei,1146600
Shizuishan,Ningxia,181257
Shuanghe,Xinjiang,14505
Shuangyashan,Heilongjiang,50628
Shuozhou,Shanxi,199471
Siping,Jilin,353365
Songyuan,Jilin,347246
Suzhou,Jiangsu,5256549
Suqian,Jiangsu,1551711
Suzhou,Anhui,1750258
Suihua,Heilongjiang,287658
Suizhou,Hubei,482362
Suining,Sichuan,1080282
Tacheng Area,Xinjiang,127377
Taizhou,Zhejiang,942853
Taiyuan,Shanxi,1197903
Tai'an,Shandong,1073057
Taizhou,Jiangsu,1673274
Tangshan,Hebei,739129
Tianjin,Tianjin,921324
Tianmen,Hubei,396544
Tianshui,Gansu,230425
Tieling,Liaoning,402294
Tiemenguan,Xinjiang,13732
Tonghua,Jilin,176080
Tongliao,Inner Mongolia,251321
Tongchuan,Shaanxi,129724
Tongling,Anhui,632225
Tongren,Guizhou,877480
Tumusuk,Xinjiang,11357
Turpan,Xinjiang,91750
Tunchang County,Hainan,71753
Wanning,Hainan,240596
Weihai,Shandong,288715
Weifang,Shandong,1501443
Weinan,Shaanxi,648714
Wenzhou,Zhejiang,1004395
Wenchang,Hainan,177839
Wenshan Zhuang and Miao Autonomous Prefecture,Yunnan,295063
Wuhai,Inner Mongolia,98843
Wulanchabu,Inner Mongolia,242405
Urumqi,Xinjiang,584558
Wuxi,Jiangsu,3525164
Wuhu,Anhui,1219113
Wuzhong,Ningxia,367279
Wuzhou,Guangxi,828846
Wujiaqu,Xinjiang,94524
Wuzhishan,Hainan,63983
Wuhan,Hubei,3042367
Wuwei,Gansu,172435
