city,prov,m
Aba Tibetan and Qiang Autonomous Prefecture,Sichuan,151971
Aksu Area,Xinjiang,59673
Aral,Xinjiang,16538
Alxa League,Inner Mongolia,61437
Altay Region,Xinjiang,19955
Ngari Area,Tibet,738
Ankang,Shaanxi,498643
Anqing,Anhui,1490926
Anshun,Guizhou,835726
Anyang,Henan,909789
Anshan,Liaoning,478499
Bayannur,Inner Mongolia,112539
Bayingolin Mongolian Autonomous Prefecture,Xinjiang,69213
Bazhong,Sichuan,771560
Baicheng,Jilin,144294
Baisha Li Autonomous County,Hainan,31584
Baishan,Jilin,89861
Baiyin,Gansu,169185
Baise,Guangxi,573613
Bengbu,Anhui,1366027
Baotou,Inner Mongolia,222885
Baoji,Shaanxi,447651
Baoding,Hebei,1985755
Baoshan,Yunnan,193218
Baoting Li and Miao Autonomous County,Hainan,101992
Beihai,Guangxi,554768
Beijing,Beijing,4326576
Beitun,Xinjiang,8888
Benxi,Liaoning,163632
Bijie,Guizhou,1266128
Binzhou,Shandong,950155
Bozhou,Anhui,1884184
Bortala Mongolian Autonomous Prefecture,Xinjiang,33558
Cangzhou,Hebei,1600763
Qamdo,Tibet,13065
Changji Hui Autonomous Prefecture,Xinjiang,304651
Changjiang Li Autonomous County,Hainan,48434
Changde,Hunan,1433161
Changzhou,Jiangsu,2714039
Chaoyang,Liaoning,277625
Chaozhou,Guangdong,712467
Chenzhou,Hunan,1411620
Chengdu,Sichuan,5360058
Chengde,Hebei,413583
Chengmai County,Hainan,229768
Chizhou,Anhui,821683
Chifeng,Inner Mongolia,305011
Chongzuo,Guangxi,362324
Chuzhou,Anhui,2656907
Chuxiong Yi Autonomous Prefecture,Yunnan,438889
Dazhou,Sichuan,1353090
Dali Bai Autonomous Prefecture,Yunnan,616236
Dalian,Liaoning,319506
Daqing,Heilongjiang,313681
Datong,Shanxi,395698
Greater Khingan Mountains,Heilongjiang,12337
Dandong,Liaoning,137692
Danzhou,Hainan,122455
Dehong Dai and Jingpo Autonomous Prefecture,Yunnan,105821
Deyang,Sichuan,1352113
Dezhou,Shandong,1355159
Diqing Tibetan Autonomous Prefecture,Yunnan,42969
Ding'an County,Hainan,105283
Dingxi,Gansu,227490
Dongfang,Hainan,72457
Dongguan,Guangdong,6327741
Dongying,Shandong,597779
Ordos,Inner Mongolia,317924
Ezhou,Hubei,523935
Enshi Tujia and Miao Autonomous Prefecture,Hubei,1009457
Fangchenggang,Guangxi,254683
Foshan,Guangdong,5808488
Fuzhou,Fujian,945542
Fushun,Liaoning,305849
Fuzhou,Jiangxi,1113379
Fuxin,Liaoning,219536
Fuyang,Anhui,2417601
Gannan Tibetan Autonomous Prefecture,Gansu,21039
Ganzi Tibetan Autonomous Prefecture,Sichuan,123972
Ganzhou,Jiangxi,1786179
Guyuan,Ningxia,166023
Guang'an,Sichuan,1245749
Guangyuan,Sichuan,674506
Guangzhou,Guangdong,8839259
Guigang,Guangxi,948237
Guiyang,Guizhou,2073981
Guilin,Guangxi,1355063
Golog Tibetan Autonomous Prefecture,Qinghai,5364
Harbin,Heilongjiang,813319
Hami,Xinjiang,107075
Haibei Tibetan Autonomous Prefecture,Qinghai,10857
Haidong,Qinghai,143252
Haikou,Hainan,774109
Hainan Tibetan Autonomous Prefecture,Qinghai,31555
Haixi Mongolian and Tibetan Autonomous Prefecture,Qinghai,38690
Handan,Hebei,1131671
Hanzhong,Shaanxi,528502
Hangzhou,Zhejiang,4293538
Hefei,Anhui,3473522
Hotan Area,Xinjiang,14356
Hechi,Guangxi,719079
Heyuan,Guangdong,1370134
Heze,Shandong,1536440
Hezhou,Guangxi,691423
Hebi,Henan,383804
Hegang,Heilongjiang,52300
Heihe,Heilongjiang,76626
Hengshui,Hebei,978447
Hengyang,Hunan,1931435
Honghe Hani and Yi Autonomous Prefecture,Yunnan,439630
Hohhot,Inner Mongolia,334348
Hulunbeir,Inner Mongolia,81385
Huludao,Liaoning,435348
Huzhou,Zhejiang,1871842
Huaihua,Hunan,1197486
Huaian,Jiangsu,2066281
Huaibei,Anhui,685763
Huainan,Anhui,1228182
Huanggang,Hubei,1986402
Huangnan Tibetan Autonomous Prefecture,Qinghai,8845
Huangshan,Anhui,575163
Huangshi,Hubei,703850
Huizhou,Guangdong,3711718
Jixi,Heilongjiang,75588
Ji'an,Jiangxi,1255038
Jilin,Jilin,317113
Jinan,Shandong,2416500
Jining,Shandong,1477293
Jiyuan,Henan,196135
Jiamusi,Heilongjiang,147556
Jiaxing,Zhejiang,2484406
Jiayuguan,Gansu,56855
Jiangmen,Guangdong,1823158
Jiaozuo,Henan,719606
Jieyang,Guangdong,1383453
Jinchang,Gansu,60058
Jinhua,Zhejiang,1979403
Jinzhou,Liaoning,512568
Jincheng,Shanxi,292030
Jinzhong,Shanxi,1113664
Jingmen,Hubei,921010
Jingzhou,Hubei,1621827
Jingdezhen,Jiangxi,593144
Jiujiang,Jiangxi,1580161
Jiuquan,Gansu,152521
Kashgar Area,Xinjiang,36080
Kaifeng,Henan,1623766
Kokkhara,Xinjiang,7128
Karamay,Xinjiang,56343
Kizilsu Kirgiz Autonomous Prefecture,Xinjiang,13521
Kunming,Yunnan,1831416
Kunyu,Xinjiang,1407
Lhasa,Tibet,39205
Laibin,Guangxi,626297
Lan'zhou,Gansu,454978
Langfang,Hebei,2342706
Ledong Li Autonomous County,Hainan,132334
Leshan,Sichuan,759558
Lijiang,Yunnan,294744
Lishui,Zhejiang,608663
Lianyungang,Jiangsu,1220224
Liangshan Yi Autonomous Prefecture,Sichuan,437861
Liaoyang,Liaoning,348469
Liaoyuan,Jilin,109548
Liaocheng,Shandong,996588
Nyingchi,Tibet,10516
Lincang,Yunnan,100148
Linfen,Shanxi,590079
Lingao County,Hainan,72640
Linxia Hui Autonomous Prefecture,Gansu,74479
Linyi,Shandong,1808623
Lingshui Li Autonomous County,Hainan,294438
Liuzhou,Guangxi,913928
Lu'an,Anhui,1744533
Liupanshui,Guizhou,616008
Longyan,Fujian,502173
Longnan,Gansu,169636
Loudi,Hunan,1028705
Luzhou,Sichuan,1140773
Luoyang,Henan,1136531
Luohe,Henan,771558
Luliang,Shanxi,458402
Ma'anshan,Anhui,1159487
Maoming,Guangdong,1593349
Meishan,Sichuan,1297365
Meizhou,Guangdong,1212061
Mianyang,Sichuan,1353685
Mudanjiang,Heilongjiang,111267
Nagqu,Tibet,5242
Nanchang,Jiangxi,1653244
Nanchong,Sichuan,1868827
Nanjing,Jiangsu,4211510
Nanning,Guangxi,1572859
Nanping,Fujian,594927
Nantong,Jiangsu,1922976
Nanyang,Henan,1694441
Neijiang,Sichuan,1178790
Ningbo,Zhejiang,1940146
Ningde,Fujian,528843
Nujiang Lisu Autonomous Prefecture,Yunnan,19211
Panzhihua,Sichuan,233575
Panjin,Liaoning,355058
Pingdingshan,Henan,1141758
Pingliang,Gansu,235478
Pingxiang,Jiangxi,460502
Putian,Fujian,529017
Puyang,Henan,818048
Pu'er,Yunnan,216953
Qitaihe,Heilongjiang,55459
Qiqihar,Heilongjiang,263619
Qianjiang,Hubei,344152
Qiandongnan Miao and Dong Autonomous Prefecture,Guizhou,996124
Qiannan Buyi and Miao Autonomous Prefecture,Guizhou,1432694
