city,prov,m
Qianxinan Buyi and Miao Autonomous Prefecture,Guizhou,544037
Qinzhou,Guangxi,670821
Qinhuangdao,Hebei,529640
Qingdao,Shandong,1505319
Qingyuan,Guangdong,2334852
Qingyang,Gansu,184785
Qionghai,Hainan,214586
Qiongzhong Li and Miao Autonomous County,Hainan,46183
Qujing,Yunnan,873307
Quzhou,Zhejiang,1338424
Quanzhou,Fujian,1324859
Shigatse,Tibet,7047
Rizhao,Shandong,649126
Sanmenxia,Henan,519175
Sanming,Fujian,556473
Sanya,Hainan,610410
Xiamen,Fujian,1274533
Shannan,Tibet,12514
Shantou,Guangdong,1121320
Shanwei,Guangdong,787992
Shangluo,Shaanxi,359338
Shangqiu,Henan,2028657
Shanghai,Shanghai,5051480
Shangrao,Jiangxi,1806689
Shaoguan,Guangdong,1539850
Shaoyang,Hunan,1652854
Shaoxing,Zhejiang,1909898
Shenzhen,Guangdong,5911115
Shennongjia Forest Area,Hubei,30362
Shenyang,Liaoning,1452082
Shiyan,Hubei,533238
Shihezi,Xinjiang,78788
Shijiazhuang,Hebei,1544439
Shizuishan,Ningxia,143044
Shuanghe,Xinjiang,7782
Shuangyashan,Heilongjiang,73831
Shuozhou,Shanxi,251447
Siping,Jilin,472133
Songyuan,Jilin,344264
Suzhou,Jiangsu,6072679
Suqian,Jiangsu,1687745
Suzhou,Anhui,1925295
Suihua,Heilongjiang,467221
Suizhou,Hubei,631928
Suining,Sichuan,1141816
Tacheng Area,Xinjiang,105565
Taizhou,Zhejiang,1334769
Taiyuan,Shanxi,1203161
Tai'an,Shandong,1107300
Taizhou,Jiangsu,1954916
Tangshan,Hebei,1022009
Tianjin,Tianjin,2446750
Tianmen,Hubei,510523
Tianshui,Gansu,249996
Tieling,Liaoning,383134
Tiemenguan,Xinjiang,6019
Tonghua,Jilin,186288
Tongliao,Inner Mongolia,238064
Tongchuan,Shaanxi,200171
Tongling,Anhui,730083
Tongren,Guizhou,983427
Tumusuk,Xinjiang,5408
Turpan,Xinjiang,87801
Tunchang County,Hainan,53529
Wanning,Hainan,193844
Weihai,Shandong,299850
Weifang,Shandong,1505599
Weinan,Shaanxi,1062072
Wenzhou,Zhejiang,1339147
Wenchang,Hainan,151734
Wenshan Zhuang and Miao Autonomous Prefecture,Yunnan,343480
Wuhai,Inner Mongolia,81927
Wulanchabu,Inner Mongolia,252628
Urumqi,Xinjiang,427345
Wuxi,Jiangsu,4078792
Wuhu,Anhui,1356051
Wuzhong,Ningxia,270718
Wuzhou,Guangxi,1000893
Wujiaqu,Xinjiang,52678
Wuzhishan,Hainan,66942
Wuhan,Hubei,3531710
Wuwei,Gansu,170111
Xi'an,Shaanxi,3408422
Xining,Qinghai,207568
Xishuangbanna Dai Autonomous Prefecture,Yunnan,242202
Xilin Gol League,Inner Mongolia,92209
Xiantao,Hubei,622359
Xianning,Hubei,903516
Xianyang,Shaanxi,1890936
Xiangtan,Hunan,1399308
Xiangxi Tujia and Miao Autonomous Prefecture,Hunan,946862
Xiangyang,Hubei,1161817
Xiaogan,Hubei,1477591
Xinzhou,Shanxi,427466
Xinxiang,Henan,1249001
Xinyu,Jiangxi,400275
Xinyang,Henan,1715150
Xingtai,Hebei,1116725
Xing'an League,Inner Mongolia,106547
Xuzhou,Jiangsu,2261884
Xuchang,Henan,1247185
Xuancheng,Anhui,1085406
Ya'an,Sichuan,519596
Yantai,Shandong,781428
Yan'an,Shaanxi,283090
Yanbian Korean Autonomous Prefecture,Jilin,82176
Yancheng,Jiangsu,1915257
Yangzhou,Jiangsu,1946196
Yangjiang,Guangdong,1037598
Yangquan,Shanxi,220063
Yichun,Heilongjiang,54213
Ili Kazakh Autonomous Prefecture,Xinjiang,92059
Yibin,Sichuan,1059903
Yichang,Hubei,1033726
Yichun,Jiangxi,1535809
Yiyang,Hunan,1192902
Yinchuan,Ningxia,405647
Yingtan,Jiangxi,419529
Yingkou,Liaoning,299591
Yongzhou,Hunan,1400374
Yulin,Shaanxi,337161
Yulin,Guangxi,1063245
Yushu Tibetan Autonomous Prefecture,Qinghai,4815
Yuxi,Yunnan,541195
Yueyang,Hunan,1636522
Yunfu,Guangdong,1314864
Yuncheng,Shanxi,622538
Zaozhuang,Shandong,786252
Zhangjiang,Guangdong,1524474
Zhangjiajie,Hunan,513082
Zhangjiakou,Hebei,572666
Zhangye,Gansu,109093
Zhangzhou,Fujian,949787
Changchun,Jilin,890637
Changsha,Hunan,3416530
Changzhi,Shanxi,404824
Zhaotong,Yunnan,728913
Zhaoqing,Guangdong,2076789
Zhenjiang,Jiangsu,1762198
Zhengzhou,Henan,3524797
Zhongshan,Guangdong,2244225
Zhongwei,Ningxia,202280
Chongqing,Chongqing,5178680
Zhoushan,Zhejiang,353373
Zhoukou,Henan,2481044
Zhuhai,Guangdong,1398648
Zhuzhou,Hunan,1507151
Zhumadian,Henan,1582992
Ziyang,Sichuan,1069391
Zibo,Shandong,1032041
Zigong,Sichuan,1011272
Zunyi,Guizhou,1643394
