city,prov,m
Changzhi,Shanxi,409077
Chengde,Hebei,408814
Yingtan,Jiangxi,402033
Siping,Jilin,398666
Songyuan,Jilin,396226
Datong,Shanxi,395684
Hohhot,Inner Mongolia,380731
Liaoyang,Liaoning,380230
Zhoushan,Zhejiang,376760
Chengmai County,Hainan,366527
Dalian,Liaoning,362709
Wenshan Zhuang and Miao Autonomous Prefecture,Yunnan,358011
Qianjiang,Hubei,356381
Dingxi,Gansu,354419
Fushun,Liaoning,351137
Lijiang,Yunnan,349793
Yingkou,Liaoning,348523
Chifeng,Inner Mongolia,348474
Xinyu,Jiangxi,345193
Yan'an,Shaanxi,341165
Daqing,Heilongjiang,335378
Chaoyang,Liaoning,334096
Jilin,Jilin,326378
Pingliang,Gansu,326277
Weihai,Shandong,315283
Xining,Qinghai,313875
Wanning,Hainan,305036
Tianshui,Gansu,302205
Jincheng,Shanxi,299397
Xishuangbanna Dai Autonomous Prefecture,Yunnan,296238
Tongliao,Inner Mongolia,294733
Zhongwei,Ningxia,292043
Qiqihar,Heilongjiang,291777
Shuozhou,Shanxi,291462
Wulanchabu,Inner Mongolia,290034
Pu'er,Yunnan,289497
Fuxin,Liaoning,282378
Jiuquan,Gansu,275572
Wuwei,Gansu,274931
Panzhihua,Sichuan,263695
Baiyin,Gansu,263149
Baotou,Inner Mongolia,261437
Tongchuan,Shaanxi,254358
Aba Tibetan and Qiang Autonomous Prefecture,Sichuan,253514
Qionghai,Hainan,246000
Longnan,Gansu,245948
Qingyang,Gansu,244102
Fangchenggang,Guangxi,243075
Wenchang,Hainan,238227
Danzhou,Hainan,233919
Haidong,Qinghai,232476
Yangquan,Shanxi,228313
Jiyuan,Henan,224282
Baoshan,Yunnan,221842
Guyuan,Ningxia,214080
Tonghua,Jilin,205365
Baicheng,Jilin,196058
Shizuishan,Ningxia,191639
Benxi,Liaoning,181460
Hami,Xinjiang,180941
Ledong Li Autonomous County,Hainan,174638
Zhangye,Gansu,173721
Tacheng Area,Xinjiang,155799
Ding'an County,Hainan,153487
Dandong,Liaoning,151818
Jiamusi,Heilongjiang,149765
Ili Kazakh Autonomous Prefecture,Xinjiang,147865
Bayingolin Mongolian Autonomous Prefecture,Xinjiang,142277
Bayannur,Inner Mongolia,138177
Turpan,Xinjiang,138009
Ganzi Tibetan Autonomous Prefecture,Sichuan,134821
Liaoyuan,Jilin,131565
Xing'an League,Inner Mongolia,128150
Lingao County,Hainan,125762
Aksu Area,Xinjiang,124619
Baoting Li and Miao Autonomous County,Hainan,122332
Lincang,Yunnan,119612
Linxia Hui Autonomous Prefecture,Gansu,119243
Xilin Gol League,Inner Mongolia,116506
Dehong Dai and Jingpo Autonomous Prefecture,Yunnan,114550
Shihezi,Xinjiang,113626
Yanbian Korean Autonomous Prefecture,Jilin,112471
Mudanjiang,Heilongjiang,112064
Wuhai,Inner Mongolia,111461
Dongfang,Hainan,107495
Jiayuguan,Gansu,97768
Alxa League,Inner Mongolia,95877
Wujiaqu,Xinjiang,92255
Baishan,Jilin,91113
Hulunbeir,Inner Mongolia,90336
Jinchang,Gansu,88443
Tunchang County,Hainan,83338
Kashgar Area,Xinjiang,82989
Heihe,Heilongjiang,81577
Haixi Mongolian and Tibetan Autonomous Prefecture,Qinghai,80727
Shuangyashan,Heilongjiang,74380
Wuzhishan,Hainan,74143
Karamay,Xinjiang,72996
Qiongzhong Li and Miao Autonomous County,Hainan,72406
Changjiang Li Autonomous County,Hainan,71656
Bortala Mongolian Autonomous Prefecture,Xinjiang,70547
Diqing Tibetan Autonomous Prefecture,Yunnan,69288
Jixi,Heilongjiang,65489
Lhasa,Tibet,57804
Yichun,Heilongjiang,56900
Hegang,Heilongjiang,51836
Hainan Tibetan Autonomous Prefecture,Qinghai,51805
Aral,Xinjiang,50671
Qitaihe,Heilongjiang,48050
Baisha Li Autonomous County,Hainan,42379
Gannan Tibetan Autonomous Prefecture,Gansu,39080
Altay Region,Xinjiang,38269
Kizilsu Kirgiz Autonomous Prefecture,Xinjiang,34699
Hotan Area,Xinjiang,33376
Shennongjia Forest Area,Hubei,32059
Haibei Tibetan Autonomous Prefecture,Qinghai,27764
Nujiang Lisu Autonomous Prefecture,Yunnan,27385
Shannan,Tibet,25453
Kokkhara,Xinjiang,25056
Qamdo,Tibet,23435
Shuanghe,Xinjiang,18918
Nyingchi,Tibet,18007
Beitun,Xinjiang,17007
Tiemenguan,Xinjiang,16147
Huangnan Tibetan Autonomous Prefecture,Qinghai,15041
Tumusuk,Xinjiang,14506
Nagqu,Tibet,13788
Greater Khingan Mountains,Heilongjiang,12789
Shigatse,Tibet,12365
Golog Tibetan Autonomous Prefecture,Qinghai,11302
Yushu Tibetan Autonomous Prefecture,Qinghai,7863
Kunyu,Xinjiang,5655
Ngari Area,Tibet,1367
